食べる,たべる,,to eat,en-us,JLPT 5
卵,たまご,,egg,en-us,JLPT 5
誰,だれ,,who,en-us,JLPT 5
誰,だれか,,somebody,en-us,JLPT 5
誕生日,たんじょうび,,birthday,en-us,JLPT 5
,だんだん,,gradually,en-us,JLPT 5
小さい,ちいさい,,little,en-us,JLPT 5
小さな,ちいさな,,little,en-us,JLPT 5
近い,ちかい,,near,en-us,JLPT 5
違う,ちがう,,to differ,en-us,JLPT 5
近く,ちかく,,near,en-us,JLPT 5
地下鉄,ちかてつ,,underground train,en-us,JLPT 5
地図,ちず,,map,en-us,JLPT 5
茶色,ちゃいろ,,brown,en-us,JLPT 5
,ちゃわん,,rice bowl,en-us,JLPT 5
,ちょうど,,exactly,en-us,JLPT 5
,ちょっと,,somewhat,en-us,JLPT 5
一日,ついたち,,first of month,en-us,JLPT 5
使う,つかう,,to use,en-us,JLPT 5
疲れる,つかれる,,to get tired,en-us,JLPT 5
次,つぎ,,next,en-us,JLPT 5
着く,つく,,to arrive at,en-us,JLPT 5
机,つくえ,,desk,en-us,JLPT 5
作る,つくる,,to make,en-us,JLPT 5
,つける,,to turn on,en-us,JLPT 5
勤める,つとめる,,to work for someone,en-us,JLPT 5
,つまらない,,boring,en-us,JLPT 5
冷たい,つめたい,,cold to the touch,en-us,JLPT 5
強い,つよい,,powerful,en-us,JLPT 5
手,て,,hand,en-us,JLPT 5
,,テープ,tape,en-us,JLPT 5
,,テーブル,table,en-us,JLPT 5
,,テープレコーダー,tape recorder,en-us,JLPT 5
出かける,でかける,,to go out,en-us,JLPT 5
手紙,てがみ,,letter,en-us,JLPT 5
,できる,,to be able to,en-us,JLPT 5
出口,でぐち,,exit,en-us,JLPT 5
,,テスト,test,en-us,JLPT 5
,では,,with that...,en-us,JLPT 5
,,デパート,department store,en-us,JLPT 5
,でも,,but,en-us,JLPT 5
出る,でる,,"to appear,to leave",en-us,JLPT 5
,,テレビ,television,en-us,JLPT 5
天気,てんき,,weather,en-us,JLPT 5
電気,でんき,,"electricity,electric light",en-us,JLPT 5
電車,でんしゃ,,electric train,en-us,JLPT 5
電話,でんわ,,telephone,en-us,JLPT 5
戸,と,,Japanese style door,en-us,JLPT 5
,,ドア,Western style door,en-us,JLPT 5
,,トイレ,toilet,en-us,JLPT 5
,どう,,"how,in what way",en-us,JLPT 5
,どうして,,for what reason,en-us,JLPT 5
,どうぞ,,please,en-us,JLPT 5
動物,どうぶつ,,animal,en-us,JLPT 5
,どうも,,thanks,en-us,JLPT 5
遠い,とおい,,far,en-us,JLPT 5
十日,とおか,,"ten days,the tenth day",en-us,JLPT 5
時々,ときどき,,sometimes,en-us,JLPT 5
時計,とけい,,"watch,clock",en-us,JLPT 5
,どこ,,where,en-us,JLPT 5
所,ところ,,place,en-us,JLPT 5
年,とし,,year,en-us,JLPT 5
図書館,としょかん,,library,en-us,JLPT 5
,どちら,,which of two,en-us,JLPT 5
,どっち,,which,en-us,JLPT 5
,とても,,very,en-us,JLPT 5
,どなた,,who,en-us,JLPT 5
隣,となり,,next door to,en-us,JLPT 5
,どの,,which,en-us,JLPT 5
飛ぶ,とぶ,,"to fly,to hop",en-us,JLPT 5
止まる,とまる,,to come to a halt,en-us,JLPT 5
友達,ともだち,,friend,en-us,JLPT 5
土曜日,どようび,,Saturday,en-us,JLPT 5
鳥,とり,,bird,en-us,JLPT 5
とり肉,とりにく,,chicken meat,en-us,JLPT 5
取る,とる,,to take something,en-us,JLPT 5
撮る,とる,,to take a photo or record a film,en-us,JLPT 5
,どれ,,which (of three or more),en-us,JLPT 5
,,ナイフ,knife,en-us,JLPT 5
中,なか,,middle,en-us,JLPT 5
長い,ながい,,long,en-us,JLPT 5
鳴く,なく,,"animal noise. to chirp, roar or croak etc.",en-us,JLPT 5
無くす,なくす,,to lose something,en-us,JLPT 5
,なぜ,,why,en-us,JLPT 5
夏,なつ,,summer,en-us,JLPT 5
夏休み,なつやすみ,,summer holiday,en-us,JLPT 5
,など,,et cetera,en-us,JLPT 5
七つ,ななつ,,seven,en-us,JLPT 5
七日,なのか,,"seven days,the seventh day",en-us,JLPT 5
名前,なまえ,,name,en-us,JLPT 5
習う,ならう,,to learn,en-us,JLPT 5
並ぶ,ならぶ,,"to line up,to stand in a line",en-us,JLPT 5
並べる,ならべる,,"to line up,to set up",en-us,JLPT 5
,なる,,to become,en-us,JLPT 5
何,なん/なに,,what,en-us,JLPT 5
二,に,,two,en-us,JLPT 5
賑やか,にぎやか,,"bustling,busy",en-us,JLPT 5
肉,にく,,meat,en-us,JLPT 5
西,にし,,west,en-us,JLPT 5
日曜日,にちようび,,Sunday,en-us,JLPT 5
荷物,にもつ,,luggage,en-us,JLPT 5
,,ニュース,news,en-us,JLPT 5
庭,にわ,,garden,en-us,JLPT 5
脱ぐ,ぬぐ,,to take off clothes,en-us,JLPT 5
温い,ぬるい,,luke warm,en-us,JLPT 5
,,ネクタイ,"tie,necktie",en-us,JLPT 5
猫,ねこ,,cat,en-us,JLPT 5
寝る,ねる,,to go to bed,en-us,JLPT 5
,,ノート,"notebook,exercise book",en-us,JLPT 5
登る,のぼる,,to climb,en-us,JLPT 5
飲み物,のみもの,,a drink,en-us,JLPT 5
飲む,のむ,,to drink,en-us,JLPT 5
乗る,のる,,"to get on,to ride",en-us,JLPT 5
歯,は,,tooth,en-us,JLPT 5
,,パーティー,party,en-us,JLPT 5
,はい,,yes,en-us,JLPT 5
灰皿,はいざら,,ashtray,en-us,JLPT 5
入る,はいる,,"to enter,to contain",en-us,JLPT 5
葉書,はがき,,postcard,en-us,JLPT 5
,はく,,"to wear,to put on trousers",en-us,JLPT 5
箱,はこ,,box,en-us,JLPT 5
橋,はし,,bridge,en-us,JLPT 5
,はし,,chopsticks,en-us,JLPT 5
始まる,はじまる,,to begin,en-us,JLPT 5
初め/始め,はじめ,,beginning,en-us,JLPT 5
初めて,はじめて,,for the first time,en-us,JLPT 5
走る,はしる,,to run,en-us,JLPT 5
,,バス,bus,en-us,JLPT 5
,,バター,butter,en-us,JLPT 5
